ID,Label
0,butterfly
1,spider
2,butterfly
3,butterfly
4,chicken
5,butterfly
6,butterfly
7,spider
8,butterfly
9,dog
10,spider
11,fish
12,spider
13,butterfly
14,fish
15,cat
16,chicken
17,elephant
18,spider
19,spider
20,horse
21,spider
22,cow
23,cow
24,butterfly
25,butterfly
26,spider
27,butterfly
28,butterfly
29,chicken
30,butterfly
31,butterfly
32,spider
33,fish
34,spider
35,cow
36,butterfly
37,dog
38,chicken
39,butterfly
40,spider
41,butterfly
42,butterfly
43,spider
44,spider
45,butterfly
46,chicken
47,butterfly
48,cat
49,butterfly
50,spider
51,butterfly
52,butterfly
53,cow
54,butterfly
55,elephant
56,horse
57,fish
58,butterfly
59,butterfly
60,butterfly
61,chicken
62,horse
63,cow
64,elephant
65,butterfly
66,butterfly
67,spider
68,spider
69,fish
70,spider
71,elephant
72,dog
73,spider
74,butterfly
75,butterfly
76,cat
77,spider
78,dog
79,horse
80,spider
81,spider
82,spider
83,spider
84,spider
85,elephant
86,chicken
87,chicken
88,spider
89,spider
90,butterfly
91,chicken
92,fish
93,dog
94,fish
95,fish
96,spider
97,fish
98,butterfly
99,fish
100,butterfly
101,fish
102,cat
103,butterfly
104,spider
105,butterfly
106,spider
107,fish
108,spider
109,butterfly
110,cat
111,butterfly
112,butterfly
113,butterfly
114,spider
115,spider
116,butterfly
117,fish
118,spider
119,dog
120,chicken
121,butterfly
122,butterfly
123,cow
124,elephant
125,butterfly
126,fish
127,spider
128,chicken
129,butterfly
130,spider
131,dog
132,spider
133,spider
134,fish
135,spider
136,dog
137,butterfly
138,butterfly
139,butterfly
140,cow
141,cat
142,spider
143,butterfly
144,spider
145,spider
146,chicken
147,butterfly
148,cow
149,cat
150,butterfly
151,butterfly
152,butterfly
153,chicken
154,dog
155,spider
156,cat
157,butterfly
158,spider
159,spider
160,butterfly
161,butterfly
162,spider
163,fish
164,spider
165,spider
166,butterfly
167,spider
168,cat
169,elephant
170,fish
171,spider
172,fish
173,spider
174,butterfly
175,butterfly
176,cat
177,butterfly
178,cat
179,spider
180,chicken
181,fish
182,dog
183,fish
184,cat
185,elephant
186,butterfly
187,fish
188,cat
189,chicken
190,horse
191,spider
192,butterfly
193,fish
194,butterfly
195,butterfly
196,cow
197,fish
198,spider
199,butterfly
200,fish
201,fish
202,cat
203,butterfly
204,cat
205,fish
206,butterfly
207,butterfly
208,butterfly
209,cat
210,cat
211,elephant
212,butterfly
213,cat
214,butterfly
215,cow
216,elephant
217,butterfly
218,spider
219,spider
220,spider
221,butterfly
222,butterfly
223,cat
224,spider
225,horse
226,dog
227,dog
228,fish
229,dog
230,cow
231,spider
232,horse
233,spider
234,spider
235,fish
236,chicken
237,butterfly
238,spider
239,spider
240,butterfly
241,dog
242,horse
243,fish
244,butterfly
245,fish
246,spider
247,fish
248,butterfly
249,butterfly
250,dog
251,dog
252,butterfly
253,butterfly
254,fish
255,chicken
256,spider
257,spider
258,butterfly
259,spider
260,cat
261,cow
262,butterfly
263,spider
264,horse
265,fish
266,spider
267,spider
268,spider
269,spider
270,spider
271,spider
272,butterfly
273,butterfly
274,cat
275,cow
276,butterfly
277,dog
278,spider
279,cow
280,spider
281,butterfly
282,butterfly
283,spider
284,horse
285,butterfly
286,butterfly
287,spider
288,horse
289,butterfly
290,butterfly
291,spider
292,spider
293,spider
294,spider
295,fish
296,cow
297,spider
298,cow
299,cow
300,butterfly
301,dog
302,butterfly
303,fish
304,spider
305,butterfly
306,butterfly
307,butterfly
308,fish
309,spider
310,chicken
311,chicken
312,butterfly
313,butterfly
314,spider
315,cow
316,cat
317,fish
318,butterfly
319,spider
320,butterfly
321,butterfly
322,butterfly
323,butterfly
324,elephant
325,spider
326,spider
327,cat
328,butterfly
329,lion
330,cat
331,chicken
332,butterfly
333,spider
334,chicken
335,spider
336,chicken
337,spider
338,chicken
339,cow
340,spider
341,butterfly
342,spider
343,horse
344,chicken
345,elephant
346,fish
347,butterfly
348,spider
349,butterfly
350,butterfly
351,butterfly
352,cat
353,butterfly
354,spider
355,spider
356,cat
357,fish
358,dog
359,butterfly
360,horse
361,butterfly
362,fish
363,spider
364,spider
365,spider
366,cow
367,fish
368,butterfly
369,butterfly
370,chicken
371,elephant
372,butterfly
373,butterfly
374,butterfly
375,elephant
376,butterfly
377,fish
378,butterfly
379,fish
380,dog
381,fish
382,dog
383,dog
384,fish
385,butterfly
386,dog
387,butterfly
388,butterfly
389,cow
390,chicken
391,butterfly
392,butterfly
393,fish
394,butterfly
395,butterfly
396,butterfly
397,butterfly
398,cat
399,fish
400,fish
401,cat
402,cow
403,spider
404,spider
405,spider
406,butterfly
407,fish
408,spider
409,butterfly
410,spider
411,spider
412,cat
413,chicken
414,fish
415,butterfly
416,elephant
417,butterfly
418,spider
419,cow
420,spider
421,butterfly
422,butterfly
423,butterfly
424,cat
425,spider
426,butterfly
427,spider
428,spider
429,butterfly
430,butterfly
431,spider
432,fish
433,spider
434,butterfly
435,fish
436,butterfly
437,dog
438,fish
439,spider
440,spider
441,butterfly
442,cat
443,butterfly
444,spider
445,spider
446,butterfly
447,butterfly
448,spider
449,elephant
450,butterfly
451,cat
452,fish
453,elephant
454,butterfly
455,spider
456,cat
457,chicken
458,spider
459,fish
460,butterfly
461,butterfly
462,spider
463,spider
464,spider
465,butterfly
466,fish
467,chicken
468,chicken
469,spider
470,chicken
471,spider
472,fish
473,cat
474,butterfly
475,spider
476,fish
477,fish
478,cat
479,butterfly
480,chicken
481,butterfly
482,butterfly
483,butterfly
484,butterfly
485,spider
486,chicken
487,butterfly
488,butterfly
489,spider
490,fish
491,butterfly
492,butterfly
493,butterfly
494,cat
495,fish
496,spider
497,fish
498,dog
499,fish
500,spider
501,butterfly
502,dog
503,butterfly
504,butterfly
505,butterfly
506,cat
507,butterfly
508,butterfly
509,butterfly
510,elephant
511,butterfly
512,butterfly
513,dog
514,cat
515,spider
516,spider
517,spider
518,spider
519,fish
520,horse
521,spider
522,fish
523,butterfly
524,butterfly
525,cow
526,spider
527,spider
528,spider
529,cow
530,spider
531,chicken
532,spider
533,butterfly
534,butterfly
535,butterfly
536,elephant
537,butterfly
538,butterfly
539,dog
540,spider
541,spider
542,butterfly
543,butterfly
544,butterfly
545,spider
546,dog
547,chicken
548,dog
549,butterfly
550,butterfly
551,butterfly
552,butterfly
553,cat
554,chicken
555,chicken
556,butterfly
557,butterfly
558,fish
559,spider
560,cow
561,fish
562,spider
563,spider
564,butterfly
